specimenID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,Date.Photographed,Specimen.ID,Ventral.ID,CurrentSp,Sex,Region,Landmass,Insular.gp,Latitude,Longitude,Extent..m.,Certainty
ZRC.4.966.VARIGATUS.CRANIUM.DORSAL,0.0027721134981528,0.01631902171877911,-0.008378887410713406,0.016701980476765795,0.005624651562351806,-6.497703902549649e-4,0.011447639526416326,-0.005366395246397942,0.0016123349270182024,0.0053906005266938116,-0.002227127097556683,-0.007755305531201493,-0.010152993404563146,-0.001388664370964507,-0.001927818418131879,-0.003243613121161342,5.835183804328833e-4,-7.58914302762191e-4,0.005083770650101526,-0.0037380582723530674,0.0016093463150782198,1.7649713484828907e-4,3.606851840399631e-4,-0.004256115935934745,0.0013324712747965284,0.0013878583539384617,-8.381517378019628e-4,0.0021788028701089624,4.2073508603517604e-4,0.0022288890697347765,0.0010447123274290092,4.174322900024959e-4,-6.42679070974157e-4,4.683043322201129e-4,6.008244744834464e-4,3.618125750323748e-4,-2.7041731455719237e-5,8.486430044255086e-5,7.653112085032054e-17,1.2041420378167134e-17,5.0306980803327406e-17,9.784924606681678e-18,18/08/2020,ZRC. 4.966,ZRC.4966.VARIGATUS.CRANIUM.VENTRAL,variegatus,Female,Java,Java,Java,-7.033653888,106.4589885,11900,75.00%
ZRC.4.886.BORNEANUS.CRANIUM.DORSAL,0.029023314562482763,-0.016822947377679313,-0.03653527460965991,0.030081404820773167,0.0060506203645998395,-0.011135457573840761,0.0024260016397942546,2.4271185940686105e-4,-0.0021507635081117115,0.01164520150842212,0.0028744571973457213,-0.006364768312657485,0.008734476738657265,-0.004754574571984897,0.006900681467983848,-0.003273937411313271,0.006303620994462961,0.0013353571002422291,-0.00352243335059054,6.05885284889138e-4,0.002709815535317936,-0.0011204003741979163,-9.369017505854746e-4,7.201608024894457e-4,2.97868615042208e-4,0.0016826408236805318,0.0012441989706264102,-7.670398568761679e-4,-7.733826779420412e-4,4.910287091527204e-4,-6.39883528037679e-4,-3.631205033978762e-4,2.7447187061420224e-5,2.2107127796059533e-4,-4.919472182541758e-4,2.5614105213600123e-5,-1.5769244972198743e-4,-9.599455408413174e-6,-4.550938619007905e-17,2.5160266665241737e-17,-9.75781955236954e-19,-3.848917712323541e-18,18/08/2020,ZRC. 4.886,ZRC.4886.BONEANUS.CRANIUM.VENTRAL,variegatus,Male,Borneo,Borneo,Borneo,3.9218,113.93024,70000,75.00%
ZRC.4.888.BORNEANUS.CRANIUM.DORSAL,0.01565957791147347,-0.006914322553448411,0.008590187766742023,-0.01141426493559663,0.006688302374394492,0.001087031975505832,0.013225187234048735,0.012828294304071867,-0.018688721898495297,-0.00822981941956101,1.7592787555023004e-4,-0.0030289306965537704,-2.1383226906361298e-4,0.008943321108695801,-0.006988700983344408,-0.0018137352398589143,0.0027617129514943247,0.0019180716214856656,-9.201100553972766e-5,-1.7283133689037657e-4,0.0015652321043763506,2.0947705700656203e-4,-0.005290690481899968,-0.0013301489379350594,-4.409957730905865e-4,-0.0021905161428890894,1.2519931577915152e-4,-1.17090494458502e-4,1.2636809979488218e-5,-5.923668494695114e-4,4.92442018004151e-4,-8.170271801265284e-4,2.852266308527371e-4,3.8366668406946645e-4,-4.09249731103531e-4,-3.868073438936583e-4,-1.9597924476987417e-5,2.151730905586889e-4,3.417947348760553e-17,3.892285799222961e-17,3.2526065174565133e-18,-4.7704895589362195e-18,18/08/2020,ZRC. 4.888,ZRC.4888.BORNEANUS.CRANIUM.VENTRAL,variegatus,Male,Borneo,Borneo,Borneo,5.304512762,116.9350579,253000,75.00%
ZRC.4.899.Peninsulae.CRANIUM.DORSAL,-0.011353603823062755,-0.020220772608300984,-0.01056664155527211,-0.021403926886378887,-0.017379791565178875,0.006225571867528844,-5.581092610494165e-4,0.007886024830252058,0.004473859459508526,-2.3087295548749898e-4,0.008377435659496092,-0.00594884666373594,0.004441860187139038,0.0017912887754332357,-0.010518752119656836,-0.001240771271943752,-0.001701112113951711,-0.002298249325869046,-0.0019053596064965844,-4.8146975814645327e-4,-9.519088954394901e-5,-0.001897078200034004,-0.002049104857641718,4.327376359760924e-4,-0.0019950847192842444,0.003835013193116446,-0.0019569018291967517,-1.8849114402765173e-5,-0.001449823793418923,1.360125234345566e-4,2.1924578147822948e-4,1.7434407945988496e-4,-6.277536710936462e-4,-1.445951596530855e-4,-7.381624536044614e-4,5.904859333687371e-4,-2.0680521174473422e-4,-1.49662294921068e-4,2.5831116759467143e-17,6.254491282525754e-18,5.583641188300348e-18,8.863352760068999e-18,18/08/2020,ZRC. 4.899,ZRC.4899.PENINSULAE.CRANIUM.VENTRAL,variegatus,Male,Peninsular SEA,Peninsular SEA,Peninsular SEA,6.425678,101.820476,19710,50.00%
ZRC.4.900.Peninsulae.CRANIUM.DORSAL,0.00801821379474561,0.0021993372451744736,-0.00271466507804713,-0.006940682089525607,-0.019449935905962515,-0.003161895679062186,0.008948952573443972,3.064293558966518e-4,0.0023859859156345727,-0.008104409190650202,-0.0045437239946358385,-0.0019334241970520286,0.00445127484914954,0.003380356408982985,-0.005381768361218268,-0.004704744517387532,0.0011470085630156009,-0.0018411381647297478,-0.004815415858283018,-1.241451221055277e-4,0.0011241572106064316,0.0011458954093549242,5.867745693607408e-4,-0.001751102452023836,0.004591715289249604,4.969762478324685e-4,0.001229157733753756,7.637036921794885e-4,0.0010984525667099283,-8.807170944523065e-5,4.6035420535038243e-4,-4.697044748239198e-7,5.896074668596337e-4,-2.2632377976245768e-4,1.9340351240239328e-4,-4.1242357027006e-4,2.1140533906268105e-4,-1.9776630960935686e-4,-3.4531839193663316e-17,7.508100044462118e-18,1.5178830414797062e-18,2.168404344971009e-18,18/08/2020,ZRC. 4.900,ZRC.4900.PENINSULAE.CRANIUM.VENTRAL,variegatus,Female,Peninsular SEA,Peninsular SEA,Peninsular SEA,7.068869728,100.621263,1000,75.00%
ZRC.4.908.Peninsulae.CRANIUM.DORSAL,0.020584679191066085,-0.009377155679602121,0.012970033230669635,-0.004816383592733433,0.005138621451954585,0.010006348707503708,-0.002192954377902182,0.013336397270680422,0.004180550819968659,0.00991640292540291,-0.013071874955281018,-0.003572998324834458,-9.519548180363139e-4,-0.0033372155180641187,-0.005548872131543087,7.265691234331133e-4,0.0016188971108474586,-0.0026058664004002734,0.0012665608242533341,-0.0014568424716668033,-0.002257134021109536,-0.00222538722304076,-0.0024265470832849512,0.00351850814398927,0.0010738815729980033,-0.001140605226315491,0.001280675913104616,0.0027751098420998495,-0.001215563564375239,3.390736182993574e-4,-8.763461681360716e-4,-1.553813618821634e-4,-2.6338822090752657e-4,9.153955943439234e-4,1.5134663510860027e-4,-4.8414315524186356e-5,-2.246068057074364e-4,3.195638481125493e-5,-1.212138028838794e-16,7.291259609965017e-18,4.7921736023859296e-17,-4.336808689942018e-19,18/08/2020,ZRC. 4.908,ZRC.4908.PENINSULAE.CRANIUM.VENTRAL,variegatus,Female,Peninsular SEA,Peninsular SEA,Peninsular SEA,NA,NA,NA,NA
ZRC.4.918.Peninsulae.CRANIUM.DORSAL,0.018985449522927685,-0.009618717514475022,0.009753690189482524,0.01218290132726894,-0.005698223202232182,5.133639735504805e-4,-0.011153665012124519,0.0020888114071942595,-0.014411618173027104,-0.009440754934581599,-0.0038960794653879415,0.015258973386474344,-0.006067522577151281,5.604051204500676e-4,0.00786238183240165,0.003262182251215648,-0.005047854455692429,-0.002116050147175972,-6.203069690733742e-4,0.003122254638518814,0.0010251228187957327,-0.002108056789237654,-3.5270605052760277e-4,0.0013552143482163017,-6.719087570274807e-4,0.001701052460399169,0.0011731002211863317,4.62446504848976e-4,-0.0018241050884117995,-1.3845645846285515e-4,-2.5608102959919984e-4,7.356970218091615e-4,-0.001204868193209053,-1.070504000056045e-4,0.0010462771061562747,-6.94322980018178e-5,-2.7124329356470987e-4,4.3956550314008214e-5,3.604972223514302e-17,2.5560066216345767e-17,-5.5294310796760726e-18,-2.168404344971009e-19,18/08/2020,ZRC. 4.918,ZRC.4918.PENINSULAE.CRANIUM.VENTRAL,variegatus,Female,Peninsular SEA,Peninsular SEA,Peninsular SEA,3.55023,101.7233,3500,75.00%
ZRC.4.925.Peninsulae.CRANIUM.DORSAL,-0.0081767078210531,-0.01132884695455763,0.0022267403968660704,-0.0013678154363836249,0.011383842625397107,-0.0042207202634931065,-0.01946263373025936,0.007128502453434925,0.01385970712850172,0.01100872240793867,0.002724022204212569,0.004170490487811987,0.003060925356171056,7.035911982485052e-4,-0.0012307022780227387,-0.0036797114948339295,-0.005726589820529217,-0.002139850407564461,-0.002478794065273583,-1.6645666905902302e-4,9.346118362712627e-5,-0.0023650000167100525,0.0010816735663588353,0.0016625219218515139,0.0011243952484240511,-0.002443585413126801,5.175952838399866e-4,-7.982431734540646e-4,2.1075730730022167e-4,0.001993417163983797,-6.646432794278715e-4,-3.2428353555211635e-4,-9.478236884516233e-5,-8.508348262101356e-5,-7.523049049514883e-4,-3.732645439573484e-4,2.606466101214875e-4,3.3164404409359994e-4,1.3892695587686132e-16,2.3561068460825618e-17,1.5070410197548512e-17,1.2576745200831851e-17,18/08/2020,ZRC. 4.925,ZRC.4925.PENINSULAE.CRANIUM.VENTRAL,variegatus,Male,Peninsular SEA,Peninsular SEA,Peninsular SEA,1.4208,103.80113,3100,100.00%
ZRC.4.944.TEMMINCKI.CRANIUM.DORSAL,-0.041841406413094244,-0.029458878965444253,0.02325266991393444,0.019988486583292515,-0.0013240070068708373,0.0010537581010615523,0.003840143269207018,-0.0070649936993585245,-0.01548881809728801,0.0012136105076985394,0.0023157471909633614,-0.0015498674503905696,0.0030782354877458063,-0.0024937204307770287,4.9168439796758853e-5,-0.006578233501679991,-5.992106604490082e-4,1.7254715784964086e-4,0.002265446680490242,-0.0019741709567380242,-0.0017115434406954574,-4.553608396313172e-4,0.0023180034222211976,-9.473025817050522e-4,-0.0012330083235754955,-2.2852674728095072e-4,-0.0020590756447279126,0.001863500052667603,3.545352441142464e-4,5.577015460714628e-4,5.151047892077598e-4,6.662892043269957e-4,5.3217114029942175e-5,4.702481501780244e-5,-2.260032985844446e-4,-5.932949218532608e-4,3.056719538887734e-6,4.8497532907478e-5,-6.660389470850014e-17,-5.0720332881587504e-18,-1.6425662913155392e-17,1.9678269430611905e-17,18/08/2020,ZRC. 4.944,ZRC.4944.TEMMINCKI.CRANIUM.VENTRAL,variegatus,Female,Sumatra,Sumatra,Sumatra,-1.895761824,101.3143701,4000,75.00%
ZRC.4.947.TEMMINCKI.CRANIUM.DORSAL,0.013141824373515966,0.00469209147790966,-0.005776611119889668,5.282243859344466e-4,-0.011105899741914312,-0.00742797471806657,8.224561154622502e-4,0.0023055651351689592,-0.0014327089825853503,0.0031034481436892445,-8.108157107616942e-4,0.010173699601364104,0.007844213404858602,-0.0068993598231913535,-0.003492249560199162,3.4119526151832845e-4,0.0026762577576269248,-0.003415701848927866,-0.0016964330165501792,0.0071163451763256915,5.936449303985314e-4,0.001096858945818359,-2.5501294121607035e-4,-0.0018467277456111523,-6.52544586667264e-4,-0.0014462779631341995,-0.003176922653132137,0.001889853634541343,0.0010034820520313675,-4.1609000836579713e-4,-5.656665261820265e-4,9.066577129464643e-4,4.70894384553033e-4,-9.649110053435583e-4,-2.4094954267220672e-4,-1.7388000805252702e-4,-4.675830966209183e-4,8.771016714938218e-6,6.808789643208968e-17,1.2847795743953228e-17,4.83554168928535e-17,-4.662069341687669e-18,18/08/2020,ZRC. 4.947,ZRC.4947.TEMMINCKI.CRANIUM.VENTRAL,variegatus,Female,Sumatra,Sumatra,Sumatra,NA,NA,NA,NA
