specimenID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,Date.Photographed,Specimen.ID,Ventral.ID,CurrentSp,Sex,Region,Latitude,Longitude,Extent..m.,Certainty
ZRC.4.966.VARIGATUS.CRANIUM.DORSAL,-0.007297043366033171,-0.01215331098265982,-0.005243360281131572,0.008829140060960841,-0.013017482148871096,-0.004457910838871201,0.0063144191306485475,0.008531058369825007,0.012132245256283628,-0.006619431113982329,-1.3843374449345696e-4,-0.0015187291467501775,-0.005595684620522456,-0.006535140111001376,-0.00762867009773178,-0.006053545251443463,0.003103209941944266,-0.0031258226934902764,-0.0036331608448092615,0.003561809886575582,0.001905452543384523,-0.0014026922654327327,-0.002705508382228674,0.0011329927708097088,0.0038841810741091034,-0.001345832086077883,-0.0010634037216071708,-1.2278992113025355e-4,-8.565620991400913e-5,-0.002813736762826043,-3.400186117601076e-4,6.587037936992936e-4,0.0012812585719322038,8.007013777967181e-5,-6.738681487746838e-4,-4.6442963076419194e-4,-5.189440881791153e-4,-6.076883631028568e-6,-2.7430314963883262e-17,2.531612072753653e-17,1.9657517123404175e-17,6.451002926288751e-18,18/08/2020,ZRC. 4.966,ZRC.4966.VARIGATUS.CRANIUM.VENTRAL,variegatus,Female,Java,-7.033653888,106.4589885,11900,75.00%
ZRC.4.886.BORNEANUS.CRANIUM.DORSAL,0.03271482090150527,-0.020236290074186453,0.013290761331632815,0.01203120229026237,-0.03564127030217918,-0.003403947412943944,-0.010973206605301255,-0.005304966731180146,0.005505110820016096,-0.019066213202790897,0.004391661607821111,0.004582139721336932,-0.002325805459637889,-5.020298430901843e-4,-0.008147638653937923,0.005593580400745526,-0.004265862901446622,-0.001670724432674552,0.001572553993437134,0.001665523878587425,-0.001944597228265902,0.006358716592627809,0.0017655305765058857,0.0031731260274969384,0.0018303564873392764,0.002069555461517155,-6.036999144919875e-4,0.0020891027788782802,0.0014181464667811095,0.0011491939393920277,5.875273045472662e-5,0.0014778176238824875,5.737879026973126e-4,-4.281612636512797e-4,8.329820233713581e-4,-0.0011479717575236326,3.768705662765152e-5,-2.11988606114432e-4,1.4127154307486123e-16,-2.190088388420719e-17,1.1815897855960676e-17,2.168404344971009e-19,18/08/2020,ZRC. 4.886,ZRC.4886.BONEANUS.CRANIUM.VENTRAL,variegatus,Male,Borneo,3.9218,113.93024,70000,75.00%
ZRC.4.888.BORNEANUS.CRANIUM.DORSAL,0.012220323814817855,0.007082499476153476,-0.018599171547894318,0.0017113559761098263,0.00961685519874178,-8.468945605915774e-4,-0.007715352723033539,-0.01724913507712734,0.017205190607903258,-0.004233836537119337,-0.008527188722465716,-0.0014663661479336414,-3.881680580654291e-4,0.00723006542716956,0.005362954574333024,-0.0018400564835878927,0.009561133929477068,4.809110980496991e-4,-0.001043832786034989,-0.004771837837332279,0.002012474625361185,0.004287520414986816,5.782077003212304e-5,0.0050950328113521575,-6.910134868354009e-4,-0.0014750346522316477,3.08347492776105e-4,-0.0025910843979351696,7.795365984007723e-4,8.82360081319834e-4,2.1599274742703045e-4,-8.570941229275866e-4,5.35145671318033e-4,5.850162861974174e-4,-1.6574121084427028e-4,-2.025542154198914e-4,0.0011216833197747675,7.193286606944487e-5,4.228388472693467e-18,7.502679033599691e-17,4.6404700015326844e-17,1.1167282376600696e-17,18/08/2020,ZRC. 4.888,ZRC.4888.BORNEANUS.CRANIUM.VENTRAL,variegatus,Male,Borneo,5.304512762,116.9350579,253000,75.00%
ZRC.4.899.Peninsulae.CRANIUM.DORSAL,0.005488361856064873,0.021489500163346144,0.02035730183747429,-0.0016721396659325311,0.01457509134306108,-7.921040935394128e-4,-0.014454102158840772,-0.0032741238770808115,-0.00318573152500046,0.0024104330330361676,0.0019965808790915834,0.013294575163421439,0.00346398124226714,0.004413003340332531,0.0022061407726108686,-0.007972650608253239,0.00855003156753298,0.0013894472860386355,-0.002770371619021513,-0.002850618883580605,-8.501446925358436e-4,-5.440390422508936e-4,-0.0019055883836836937,-0.0018319918673064609,-6.674255558311989e-4,0.005316621970549842,0.001167573127064303,-0.0023315419681429806,0.0042962052816609446,0.002062345374411446,6.583084422241207e-5,4.3685199777696395e-4,2.200574505160977e-4,-4.121498390193667e-4,4.6002479718080635e-4,-0.00106104703674558,-7.077400499336115e-4,-6.909334030481931e-4,-1.3335686721571705e-17,2.0030635136669694e-17,-1.730340080474766e-17,3.469446951953614e-18,18/08/2020,ZRC. 4.899,ZRC.4899.PENINSULAE.CRANIUM.VENTRAL,variegatus,Male,Peninsular SEA,6.425678,101.820476,19710,50.00%
ZRC.4.900.Peninsulae.CRANIUM.DORSAL,0.005045721973207513,-0.004838385341980456,0.0027828891135348844,-0.007151280299126967,0.012013495403332108,0.0030277917649303926,-0.009700863280278605,0.009587070043217565,0.01098259627429594,-0.0014697770074331834,-0.001758887002284712,0.005724847886299894,0.0013960433027394024,0.005828548337262318,0.0034842855131412775,0.0012866114443440125,0.0060658873596853725,-0.002879983882149521,4.692713660504221e-4,-0.00479741146374334,-0.0018120020670566474,-0.003503181440532628,-0.0013109780249389567,0.00381479302108677,8.006340662754648e-4,0.0010335987391040277,0.001115893979315953,0.00481539541411625,7.761230848227228e-4,5.877335141955887e-4,-6.232429255639822e-4,4.5978944538738783e-4,2.1039688771814553e-4,1.0378397550903182e-4,-6.951557826437174e-5,3.3856257505650105e-4,2.137221627624273e-4,4.782392263431184e-4,3.5887091909270197e-17,-3.209238430557093e-17,-9.634152742070412e-18,-5.204170427930421e-18,18/08/2020,ZRC. 4.900,ZRC.4900.PENINSULAE.CRANIUM.VENTRAL,variegatus,Female,Peninsular SEA,7.068869728,100.621263,1000,75.00%
ZRC.4.908.Peninsulae.CRANIUM.DORSAL,0.017428162401474937,0.003897880768580104,-0.019884989900358682,-0.00468314250306115,0.009276501183431148,-0.010867274160989676,0.002039575234117832,-0.00771502804944038,0.0029738544307226886,-0.008167388062998876,0.015552272014573152,0.0046698120243799735,0.007012497561186391,8.04139857842828e-4,-0.0025278415282170897,-0.004368277113374442,-0.003201815992113724,2.6141413043069377e-4,-0.006397749939537367,-0.0034261326560131727,-0.002320116670770987,0.0052255620275781095,-0.0036392886827507553,-0.0016209879848895505,-0.00321197323712134,0.0025147575225777713,-0.0027869564182933506,5.517767058648344e-4,-0.0019153387582304233,-0.0013691078755135126,7.518508656339753e-4,-6.436240828019363e-4,3.1241715792792776e-5,0.0018707194776051838,-0.0015515888101559597,3.407518614421386e-4,5.279610927909918e-4,2.753615214878154e-4,1.7198156961051314e-16,5.231275482242559e-17,4.022135950037045e-18,-2.0599841277224584e-17,18/08/2020,ZRC. 4.908,ZRC.4908.PENINSULAE.CRANIUM.VENTRAL,variegatus,Female,Peninsular SEA,NA,NA,NA,NA
ZRC.4.918.Peninsulae.CRANIUM.DORSAL,0.014901329707293628,-0.00742670712326618,-0.010071160628388736,-0.021053315898686073,-0.002441313287116051,-0.005724440128880631,-0.0024734752307462517,-0.012096930258819047,-0.0014493383742298388,-0.005232924180703969,-0.005541142537371126,-0.017564454731787325,0.00426116942416334,-0.002291867314842047,0.006058717482353711,0.004377158657749879,-0.005924582109479776,0.003759164373243008,0.005332391908816967,-0.0013040529514466786,-0.0026267035329561525,-0.002939597464431321,0.00610062173430997,-0.0031202252241805803,0.001175584956021933,0.0018209851756231575,-0.0015450278345272744,-8.544054594211086e-4,8.333125887481322e-4,7.119442520989449e-4,-6.07851271595363e-4,0.001991486753573983,1.9296418897830474e-4,0.0014106055565824868,7.801682968759664e-4,9.21494728679218e-4,-2.3394555793084014e-6,-1.7769004707198036e-4,5.421010862427522e-20,9.540979117872439e-18,1.8777873407680584e-17,1.1817803680091998e-17,18/08/2020,ZRC. 4.918,ZRC.4918.PENINSULAE.CRANIUM.VENTRAL,variegatus,Female,Peninsular SEA,3.55023,101.7233,3500,75.00%
ZRC.4.925.Peninsulae.CRANIUM.DORSAL,0.0027630476975740417,0.014634464913413157,-6.129043167664482e-4,-0.00210691778847454,-0.00808686403423252,0.006245589472683582,0.00629456670537227,-0.00833706309743305,-0.018597468238386396,0.0022342631493868005,0.019829953008217275,0.00265830991951247,0.0014478181986092935,0.0023850837119331943,-0.0028508300071934146,3.3958015512498737e-4,3.7493943727530887e-4,0.0031401726136505706,-9.9091517763335e-4,-1.2969298683705821e-4,-0.0024002617303089395,3.227878649976056e-4,0.0012612514206953313,-0.0032871368892838965,-6.292808791095645e-4,0.0018353352618248062,0.001210755069389344,0.0018550961240930612,-0.0032026424618759727,-0.001579563382448687,1.114094889680329e-4,6.91800718017662e-4,-2.3637343984216235e-4,-0.001077099244015343,-3.911303436922927e-4,3.016207775308557e-4,8.634496816513513e-4,-6.913706435144385e-4,-1.134346522962959e-16,-2.225324959026498e-17,4.778536371935135e-18,1.9949319973733282e-17,18/08/2020,ZRC. 4.925,ZRC.4925.PENINSULAE.CRANIUM.VENTRAL,variegatus,Male,Peninsular SEA,1.4208,103.80113,3100,100.00%
ZRC.4.937.TAYLORI.CRANIUM.DORSAL,0.015871976333124767,0.01724219648236405,-0.0045901043722856305,0.019344347021484867,0.0013447868587368227,-0.006891867980750962,6.885620931322569e-4,0.005581961607358029,0.007061403608215227,-0.008835642103340544,0.0036725335704662155,6.804572347798016e-5,-0.008540904706968517,0.004408661140517717,0.0029869310730162115,-0.003108678243537992,-0.0033887753182658183,-0.008813198266095433,-0.0025601374903367223,0.0017171166747590256,0.006112357298518841,-0.004965610588942248,0.0017361648312407489,-0.003969896128702667,-0.0016998609758907752,0.001094157448791503,0.0026691242118727317,2.9346030053201046e-4,3.053617164755449e-4,-0.0016135345765012415,-7.949031952775006e-5,3.641891575218792e-4,1.389211261495361e-4,1.2680960656490234e-4,0.0014506872827462604,-8.061760048950761e-4,-5.883642560250736e-4,-4.567280200812992e-4,5.654114329511906e-17,-6.938893903907228e-18,2.989433380744602e-17,-9.75781955236954e-19,18/08/2020,ZRC. 4.937,ZRC.4937.TAYLORI.CRANIUM.VENTRAL,variegatus,Male,Peninsular SEA,2.789944,104.202186,1450,100.00%
ZRC.4.938.TAYLORI.CRANIUM.DORSAL,-0.03189014978237966,-0.002722815062303095,0.001079195415970912,-6.508099311022216e-4,0.004291801836680352,0.004988607813830408,-0.012574447119086014,-0.010322794797969832,0.006355584686099177,0.006794889943915084,-0.0014299136921064285,-0.015479975161788314,-0.010401004161186047,0.0023298172293336034,0.004038776374321143,4.3863152390124165e-4,0.005018015771402834,-0.001289109219640467,5.636140347034867e-4,3.761257423731331e-5,-9.527420619772304e-4,0.0027664881968427076,-0.00404497860572101,0.0027031292967093752,-0.0014076331770325455,-7.256003382915002e-4,1.0302680528692188e-4,1.6380993067483963e-4,-5.379403214966915e-4,-0.001238901313272865,-0.0010759640792339573,5.833264189607281e-4,-3.457105632231015e-4,0.002126142989289464,9.654735892424893e-4,-1.022608219995736e-4,-2.4157286341096182e-4,-5.320274869353116e-4,3.846207206892327e-17,-8.849546123028754e-17,-3.08205444829339e-17,-1.4135285823779764e-17,18/08/2020,ZRC. 4.938,ZRC.4938.TAYLORI.CRANIUM.VENTRAL,variegatus,Female,Peninsular SEA,2.789944,104.202186,1450,100.00%
