specimenID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,DatePhotographed,SpecimenID,CurrentSp,Sex,Region,Longitude,Latitude,Extent.km,Certainty
ZRC.4.966.VARIGATUS.CRANIUM.DORSAL,-0.003792220093488784,0.009771564020833857,0.004897848724313279,-0.014141532929444135,0.0092606790388276,0.0036368317168144876,-0.004254101482670309,-0.01502345699132375,0.0014704675029023296,6.812504418020643e-4,-0.0077679248621188805,-0.0035707967523263217,-0.00500890648234238,0.007863286668223104,-0.006505942893147092,-0.00610133797226287,0.0045455928437105496,0.0047842573861844855,0.0022840512239760864,-0.0046320155844449375,-0.002960499915074426,0.0022669716857279354,-0.001416954553725786,-0.0017069073057942802,1.765585531906665e-4,0.001936513759303968,0.0024332830800485135,0.002147979405255295,8.043054576837942e-4,0.0018945515478016545,-5.6046545413759e-4,-7.299777546225474e-4,-0.001146142754006177,3.1539696910304175e-4,2.780727005391167e-4,-1.6902730247877616e-4,5.859653489862015e-4,8.283447566099892e-5,5.853336478706117e-17,-3.539920093165172e-17,-4.369334755116583e-17,-4.933119884809045e-18,18/08/2020,ZRC. 4.966,variegatus,Female,Java,NIL,NIL,NIL,NIL
ZRC.4.886.BORNEANUS.CRANIUM.DORSAL,0.03906738315661182,0.015258558201656183,-0.01992859271294916,-0.030187913716954045,0.015149473290019031,0.006900244887346393,0.005732920257994985,-0.0011285157908172958,-0.005750991261644519,0.00433436105765086,-0.013509821584074865,-0.012501844337695897,-0.0023771754516077265,2.0636951993870093e-4,-0.006439326885602319,0.006772407520677495,0.001269165728373509,-0.0018827510830908272,4.1711929156656687e-4,-0.0014712950779870628,9.476137480981116e-4,-0.005462403009266049,0.003492483814705454,-0.003446247578171722,-0.00177407589633199,0.001355134903933933,-0.0010173659121261395,0.0011963317966113098,-7.348804182885622e-4,-0.0011932453582655987,-0.0011576863808890425,-9.917225958920688e-4,1.7229419343514463e-5,4.967231118368606e-5,2.6521442467466853e-4,0.0011358108754486668,-3.8060613151037325e-4,2.3552310729339415e-4,-1.4138673955568781e-16,1.5937771935536915e-17,-1.7753810574450135e-18,-1.0842021724855044e-18,18/08/2020,ZRC. 4.886,variegatus,Male,Borneo,3.9218,113.93024,70,75
ZRC.4.888.BORNEANUS.CRANIUM.DORSAL,0.015366550990402975,-0.01089598525316682,0.01593271691926984,0.007569010365568542,0.0025677774320923305,9.066691878030646e-6,0.00797052297721944,-0.004374582571910586,-0.021859931836098,-0.012269728820638167,-6.328179661724047e-4,0.004717902566608024,0.007872523627835441,-0.0014066275268613412,0.003843550979165042,-0.004690858018293692,0.009230529711025389,-3.813880775532506e-4,-0.0019303176635480277,0.003031992432725053,-0.0011701370526196817,-0.0035765097396143327,-8.02853704180684e-4,-0.0033403130920509143,0.0015123350877415801,-0.0012300933875354046,0.0020317567858480217,-0.0011872694898372145,-0.0014157954552473297,-0.0010382862217368845,9.746927759318606e-4,1.6427930728157391e-4,-9.693616800473407e-4,2.9279801606708997e-4,5.701869110607806e-4,-5.426688400206037e-4,-7.394902962547813e-4,-8.50675769712725e-5,5.976664475826343e-17,-6.949735925632083e-17,2.041010589703962e-17,-7.26415455565288e-18,18/08/2020,ZRC. 4.888,variegatus,Male,Borneo,5.304512762,116.9350579,253,75
ZRC.4.899.peninsulae.CRANIUM.DORSAL,0.003942288222419878,-0.018287025396113717,-0.021043385923186976,0.01962027501661718,-0.002343008578120852,0.004498292972705183,0.013474185963321148,0.005360508322205846,8.667857810840232e-4,0.00233871614161129,0.011202200987585736,-0.0066138420797101005,0.004648778818963786,-0.004013511480850023,0.005610588647318123,-0.009607875105794693,0.005962548601620885,0.001317119377771847,2.1902580317083404e-4,9.856560267098426e-4,0.003682683037741604,-1.1051076871796519e-4,-2.894208057643283e-4,0.0028771471825249422,-0.004606868919908708,0.0014789024168536005,0.0016338805970600317,1.0299586489132196e-4,-0.002801585584408209,-0.0028496906607805884,-6.689588664464352e-4,-2.6983780192292182e-5,-2.1709423565973837e-4,-3.4121510037986606e-4,8.709861746190337e-4,0.0011634708381683108,2.96751360697266e-4,4.8191485853107724e-4,-2.3479753297889205e-18,1.2170169386149787e-17,1.282069068964109e-17,-2.6020852139652106e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZRC.4.900.peninsulae.CRANIUM.DORSAL,0.006679063004031719,0.004551933847333179,-0.0011788535692050675,0.011032494798303732,-0.007028515219267886,-0.001784955444965033,0.012180716518647314,-0.013674765950907013,0.0022295944020998258,3.644121453442032e-4,0.0029532437865136944,-0.0017744667664878935,0.005546495213703578,-0.0031628779649621485,0.005346137754517877,1.9011564024070743e-4,0.005810304253968066,0.0015159560045917963,-0.005772354527711073,-6.517616357985905e-4,0.003227879617406861,0.00247319986788428,4.235079045142025e-4,-0.004312783311677907,-0.0012536429417712022,-0.0026042363314375274,-0.0033195939636210766,0.0023243412347144377,-4.709070825633028e-5,1.604564402982788e-4,-4.847714872305005e-4,-3.28906556552892e-4,1.5710415302068708e-4,-4.0985440801778435e-5,-4.258467657046076e-4,-6.553252834470767e-5,-9.195460738562448e-5,-5.068075274748139e-4,1.64663204946236e-17,4.8138576458356397e-17,5.274643569141979e-17,1.3660947373317356e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZRC.4.908.peninsulae.CRANIUM.DORSAL,0.019524204658085624,-0.009819750667669899,0.018543561413763947,0.0058058479126181315,-0.00652781118285199,0.006834555194212574,-0.005932979444092138,6.93420629527549e-4,-0.012904559092354391,0.014668065216537267,8.014876336373712e-4,-0.006834147959596815,-9.493098119503938e-4,-0.0054012287689617295,-0.003627348023874799,-0.00376257545316186,6.165952883762936e-4,0.0047562145076791625,5.410959118973737e-4,0.0033893890678711324,0.0044506745866303155,-0.004902369014774181,-0.003214103875167764,0.0012781680187559544,-0.0011007770149862911,0.002357061592809689,-0.002533898314545638,-0.0011461908439047716,9.611486852801299e-4,0.002198885159154605,0.0014554097680325464,-6.268822554075543e-4,-3.8289767521141715e-4,0.0016724397787525292,-3.1999131436450203e-4,-0.001341058896889435,-1.7255314501892174e-4,-3.0634920121605195e-5,-2.086682606219914e-16,-7.361732751176575e-17,2.1711148504022226e-17,1.2468324983583301e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZRC.4.918.peninsulae.CRANIUM.DORSAL,0.01767013856258357,0.003441994331575854,0.007040757346360538,-0.006664383073258569,-0.022032155200471613,-0.0013885321076456084,-0.0014675679104441623,0.006772931376471408,-0.012295083660303734,-0.00425002728362012,-0.009072044209604922,0.014130912752808679,-0.0028670259361721112,-0.00247052413699961,0.002022978756274933,0.0037402818085788673,-0.008428459991642968,-0.005720017094170195,-0.0012625198800550832,0.003832771621756112,0.0010807900411367276,0.004008499857695959,0.004851286240138876,0.001663347229050483,-5.102850892562657e-4,0.0018325240672282467,-2.7533858877931184e-4,-5.33151658442058e-4,-0.0012825308941960035,-7.513247608120813e-4,-0.0017217751322559233,-0.0014424315721415695,1.989753578054907e-4,4.890439575759824e-4,-0.0012555664517520638,-3.2626836395846927e-4,1.0453528358465392e-4,1.676482736941578e-4,-8.768485069976517e-18,-8.348356728138384e-18,-2.303929616531697e-18,-6.505213034913027e-19,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZRC.4.925.peninsulae.CRANIUM.DORSAL,0.0018975656478923935,-0.015566878211565152,-0.002821702408960358,-0.006063113699854045,0.0025389458516077317,-0.007125716910058083,-0.006947535660762707,0.020797318548434095,0.0020943316167274565,0.019014832691883327,0.006350253434750207,-0.002125413831275541,0.0019404760489239235,-2.402934624473545e-4,-0.0018032841383206725,0.0011728929688483692,-2.4003502119832623e-4,-0.001997868403469951,0.002096917047804069,0.0023067086012827963,0.0020039919805561472,0.00103311242393295,7.829461242570487e-4,0.0023460861204131506,-0.0022796693137001724,-7.426149031391538e-4,-0.0020133752247240436,-4.430951674368822e-4,0.0029114900766691065,0.0026371596987298696,-6.241988844776548e-4,-3.834785976626762e-4,0.0011239526563277217,-9.689189406932115e-4,1.8377265300955332e-4,3.7388213853848735e-4,-0.00105539645729139,4.1614066605861084e-4,9.566051293111166e-17,-5.307169634316544e-17,3.008661028647275e-17,-1.360673726469308e-17,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZRC.4.937.TAYLORI.CRANIUM.DORSAL,0.016192794460998704,-0.020203858735071294,0.001614876482411258,0.00472195924987195,0.016791990579397592,0.00962536626366943,-0.0020863049907144464,-0.009340662910187697,0.0015011586463562633,0.0032869384793384284,-0.007406900377189463,-0.0023113875255287874,0.0071438875684993654,0.005526098588483859,-4.013289389721999e-4,-0.0017201424044502283,-0.004932220203878448,0.008996127078569933,-0.00406181473046738,-0.00410244430991893,-0.0069013229602772515,0.00307868214835332,0.0017772819939833608,0.004586465059641339,-0.00179541591035749,-0.0026015942306695534,-1.5715193076593678e-4,-0.0010141488643168337,-0.0010815435982455268,7.588631457669029e-4,-4.26901902053421e-4,-1.3407721739486938e-4,-6.732957719626683e-4,-6.848956025587449e-5,-4.303116051630581e-4,0.0013575748647348185,3.4488944727195035e-4,5.326060178111929e-4,3.076423664427619e-18,-1.2468324983583301e-17,3.298685109787147e-17,1.235990476633475e-17,18/08/2020,ZRC. 4.937,variegatus,Male,Peninsular SEA,2.789944,104.202186,1.45,100
ZRC.4.938.TAYLORI.CRANIUM.DORSAL,-0.029059597227751307,0.007890032032072834,0.001987901033497935,0.0024141195935197092,0.0026065916071646754,-8.879854359231916e-4,0.015773562358374116,0.005473016601148767,-0.010311876955865506,-0.005294891707936284,-0.0014691833078775414,0.015044907452564414,0.006054089679711107,0.010377865643673769,0.0011024790038576702,-0.001986692832815939,1.0962500181066653e-4,5.569018609357741e-4,-0.0014295521351816015,-0.0018105554723622317,7.509247192325187e-4,-0.003971154685676904,-0.003241505878112237,-0.0018051344978854606,0.0010481847168755361,-0.0015775201954116131,-1.2477825667732748e-4,2.4771244802709327e-4,-5.773230849208206e-4,7.386907446847353e-4,-4.920139753882819e-4,7.479332497973156e-5,-2.804608381962858e-4,0.001695303301440856,-0.0015617892911797076,5.374229448036286e-4,-1.4859015019897507e-4,5.112229550561966e-4,-2.3254654292156375e-17,6.497505035093012e-17,5.212132537634612e-17,-1.5854762706705994e-17,18/08/2020,ZRC. 4.938,variegatus,Female,Peninsular SEA,2.789944,104.202186,1.45,100
